Species_cluster,Region,Number_sequences
SC01,Central_America,1
SC01,East_Asia,247
SC01,Eastern_North_America,53
SC01,Europe,97
SC01,Hawaii,1
SC01,Subsaharan_Africa,2
SC01,Western_North_America,139
SC02,East_Asia,111
SC02,Eastern_North_America,5
SC02,Europe,11
SC02,West_Asia,2
SC02,Western_North_America,13
SC03,East_Asia,50
SC03,Europe,2
SC04,East_Asia,1
SC04,Europe,29
SC04,Subsaharan_Africa,2
SC04,West_Asia,2
SC04,Western_North_America,1
SC05,East_Asia,30
SC05,Eastern_North_America,1
SC06,Eastern_North_America,6
SC06,Europe,17
SC06,Hawaii,1
SC07,East_Asia,21
SC07,Subsaharan_Africa,3
SC07,Temperate_South_America,1
SC08,Subsaharan_Africa,25
SC09,East_Asia,22
SC10,East_Asia,17
SC11,East_Asia,19
SC12,Subsaharan_Africa,21
SC13,East_Asia,2
SC13,Europe,2
SC13,Temperate_South_America,14
SC14,East_Asia,6
SC14,Europe,5
SC15,Eastern_North_America,14
SC16,New_Zealand,14
SC17,Western_North_America,11
SC18,East_Asia,11
SC19,East_Asia,10
SC20,Eastern_North_America,8
SC21,Temperate_South_America,8
SC22,India,1
SC22,Temperate_South_America,5
SC23,Europe,6
SC24,Temperate_South_America,6
SC25,New_Zealand,5
SC26,Europe,5
SC27,Australia,3
SC27,New_Zealand,2
SC28,East_Asia,4
SC29,Eastern_North_America,4
SC30,East_Asia,2
SC30,Europe,1
SC31,Central_America,3
SC32,Australia,2
SC33,East_Asia,3
SC34,East_Asia,3
SC35,East_Asia,3
SC36,Central_America,1
SC36,Tropical_South_America,2
SC37,New_Zealand,2
SC38,East_Asia,2
SC39,Western_North_America,2
SC40,Australia,2
SC41,East_Asia,2
SC42,East_Asia,2
SC43,East_Asia,2
SC44,West_Asia,2
SC45,East_Asia,3
SC46,East_Asia,2
SC47,Subsaharan_Africa,2
SC48,Tropical_South_America,7
SC49,Tropical_South_America,2
SC50,Eastern_North_America,1
SC51,Tropical_South_America,1
