Species,Australia,Central_America,East_Asia,Eastern_North_America,Europe,Hawaii,India,New_Zealand,Southeast_Asia,Subsaharan_Africa,Temperate_South_America,Tropical_South_America,West_Asia,Western_North_America
Sp1,0,1,1,1,1,1,0,0,0,1,0,0,0,1
Sp2,0,0,1,1,1,0,0,0,0,0,0,0,1,1
Sp3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Sp4,0,0,1,0,1,0,0,0,0,1,0,0,1,1
Sp5,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Sp6,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Sp7,0,0,1,0,0,0,0,0,0,1,1,0,0,0
Sp8,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sp9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sp10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sp11,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sp12,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sp13,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Sp14,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Sp15,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sp16,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sp17,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sp18,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sp19,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sp20,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sp21,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sp22,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Sp23,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sp24,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sp25,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sp26,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sp27,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Sp28,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sp29,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sp30,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Sp31,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sp32,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp33,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sp34,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sp35,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sp36,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Sp37,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sp38,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sp39,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sp40,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp41,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sp42,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sp43,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sp44,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sp45,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sp46,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sp47,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sp48,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sp49,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sp50,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sp51,0,0,0,1,0,0,0,0,0,0,0,0,0,0
