,Australia,Central_America,East_Asia,Eastern_North_America,Europe,Hawaii,India,New_Zealand,Southeast_Asia,Subsaharan_Africa,Temperate_South_America,Tropical_South_America,West_Asia,Western_North_America
Australia,,,,,,,,,,,,,,
Central_America,0,,,,,,,,,,,,,
East_Asia,0,1,,,,,,,,,,,,
Eastern_North_America,0,2,5,,,,,,,,,,,
Europe,0,2,9,6,,,,,,,,,,
Hawaii,0,0,1,1,1,,,,,,,,,
India,0,0,2,1,1,1,,,,,,,,
New_Zealand,3,0,0,0,0,0,0,,,,,,,
Southeast_Asia,0,0,0,0,0,0,0,0,,,,,,
Subsaharan_Africa,0,0,3,1,2,1,1,0,0,,,,,
Temperate_South_America,0,0,1,0,0,0,0,0,0,1,,,,
Tropical_South_America,0,0,0,0,0,0,0,0,0,0,1,,,
West_Asia,0,1,3,2,3,0,0,0,0,1,0,0,,
Western_North_America,0,3,6,5,5,1,1,0,0,1,0,0,2,
