author_year,sample_number,biome_type,mean_annual_temp,mean_annual_precip,pH,year_of_sampling,longitude,latitude,continent,sample_type,primer_pair,number_of_ITS2_identified,total_number_of_ITS,Armillaria_total_OTU_abundance
Baldrian_2016,01,forest,6.6,784,4.33,2013,14.7046,48.6645,Europe,deadwood,gITS7/ITS4,10480,10480,1
Baldrian_2016,02,forest,6.6,784,5.54,2013,14.7081,48.6635,Europe,deadwood,gITS7/ITS4,6600,6600,1
Baldrian_2016,03,forest,6.6,812,4.41,2013,14.7097,48.6661,Europe,deadwood,gITS7/ITS4,4267,4267,1
Baldrian_2016,04,forest,6.6,812,4.9,2013,14.7091,48.6659,Europe,deadwood,gITS7/ITS4,5157,5157,1
Baldrian_2016,05,forest,6.7,806,3.45,2013,14.7093,48.6666,Europe,deadwood,gITS7/ITS4,12092,12092,1
Baldrian_2016,06,forest,6.7,806,4.17,2013,14.7103,48.6671,Europe,deadwood,gITS7/ITS4,9892,9892,3
Baldrian_2016,07,forest,6.7,806,4.29,2013,14.7089,48.6679,Europe,deadwood,gITS7/ITS4,5505,5505,3
Baldrian_2016,08,forest,6.7,806,4.37,2013,14.7088,48.6666,Europe,deadwood,gITS7/ITS4,14605,14605,1
Baldrian_2016,09,forest,6.7,806,4.86,2013,14.7109,48.6676,Europe,deadwood,gITS7/ITS4,12531,12531,1
Baldrian_2016,10,forest,6.9,760,4.89,2013,14.7054,48.6678,Europe,deadwood,gITS7/ITS4,10898,10898,1
Barnes_2016,01,forest,15.33,669,4.7,2014,-68.6333,-16.2761,South America,root,gITS7/ITS4,8798,8798,4
Egidi_2019,01,forest,9.2,884,5.84,2015,-85.4,42.4,North America,soil,fITS7/ITS4,104309,104309,3
Froeslev_2019,01,anthropogenic,8.3,779,4.75,2014,9.85751,55.6839,Europe,soil,gITS7/ITS4,49757,49757,1
Froeslev_2019,02,forest,8.5,750,8.12,2014,9.85081,55.6758,Europe,soil,gITS7/ITS4,14078,14078,1
Froeslev_2019,03,forest,8.5,750,8.12,2014,9.85081,55.6758,Europe,soil,gITS7/ITS4,18814,18814,1
Froeslev_2019,04,grassland,8.5,795,4.83,2014,8.87482,57.0449,Europe,soil,gITS7/ITS4,25854,25854,1
Gomes_2017,01,forest,11.5,1242,NA,2012,150.275,-33.6478,Australia,soil,fITS7/ITS4,261444,261444,1
Gomes_2017,02,forest,11.5,1242,NA,2012,150.275,-33.6478,Australia,soil,fITS7/ITS4,27182,27182,1
Gomes_2017,03,forest,11.9,846,NA,2012,146.809,-43.0726,Australia,soil,fITS7/ITS4,307395,307395,3
Jiao_2018,01,forest,11.7,798,NA,2016,107.926,34.5617,Asia,soil,ITS5/ITS2,0,13407,1
Jiao_2018,02,forest,11.7,798,NA,2016,107.926,34.5617,Asia,soil,ITS5/ITS2,0,42529,1
Jiao_2018,03,forest,11.7,798,NA,2016,107.926,34.5617,Asia,soil,ITS5/ITS2,0,65783,79
Jiao_2018,04,forest,11.7,798,NA,2016,107.926,34.5617,Asia,soil,ITS5/ITS2,0,69856,1
Marin_2017,01,forest,12,1439,4.2,2013,-72.95,-40.79,South America,soil,ITS1F/ITS4,9759,17391,3
Marin_2017,02,forest,12,1439,4.3,2013,-72.95,-40.79,South America,soil,ITS1F/ITS4,10855,19952,147
Marin_2017,03,forest,12,1439,4.4,2013,-72.95,-40.79,South America,soil,ITS1F/ITS4,12276,22435,1
Marin_2017,04,forest,12,1439,4.5,2013,-72.95,-40.79,South America,soil,ITS1F/ITS4,5198,9509,63
Marin_2017,05,forest,12,1439,4.8,2013,-72.95,-40.79,South America,soil,ITS1F/ITS4,6906,12513,53
Marin_2017,06,forest,12,1439,5.2,2013,-72.95,-40.79,South America,soil,ITS1F/ITS4,11625,21885,18
Marin_2017,07,forest,12,1439,5.5,2013,-72.95,-40.79,South America,soil,ITS1F/ITS4,12326,22447,1
Marin_2017,08,forest,12,1439,5.5,2013,-72.95,-40.79,South America,soil,ITS1F/ITS4,12711,22711,2
Marin_2017,09,forest,12,1439,5.6,2013,-72.95,-40.79,South America,soil,ITS1F/ITS4,13061,23141,10
Marin_2017,10,forest,12,1439,5.7,2013,-72.95,-40.79,South America,soil,ITS1F/ITS4,12760,23028,3
Marin_2017,11,forest,12,1439,5.7,2013,-72.95,-40.79,South America,soil,ITS1F/ITS4,13969,24824,1
Marin_2017,12,forest,12,1439,5.8,2013,-72.95,-40.79,South America,soil,ITS1F/ITS4,11819,20223,1
Marin_2017,13,forest,12,1439,5.8,2013,-72.95,-40.79,South America,soil,ITS1F/ITS4,12373,22643,94
Marin_2017,14,forest,12,1439,6,2013,-72.95,-40.79,South America,soil,ITS1F/ITS4,10704,20031,50
Marin_2017,15,forest,12,1439,6.1,2013,-72.95,-40.79,South America,soil,ITS1F/ITS4,11187,20064,55
Siles_2017,01,forest,10.3,900,4.91,2015,11.2968,46.4269,Europe,soil,ITS1F/ITS2,0,55533,1
Talbot_2014,01,forest,16.3,1345,NA,2012,-89.389,34.4312,North America,soil,ITS1F/ITS4,4,1554,1
Talbot_2014,02,forest,16.3,1345,NA,2012,-89.389,34.4312,North America,soil,ITS1F/ITS4,8,863,1
Tedersoo_2014,01,forest,10.2,934,4.46,2012,146.783,-43.174,Australia,soil,ITS3/ITS4,7592,7592,7
Tedersoo_2014,02,forest,10.5,2578,3.48,2012,171.687,-42.7642,Australia,soil,ITS3/ITS4,9636,9636,2
Tedersoo_2014,03,forest,11.3,3654,3.03,2012,169.389,-43.7624,Australia,soil,ITS3/ITS4,5692,5692,23
Tedersoo_2014,04,forest,11.7,1026,4.08,2012,146.65,-43.093,Australia,soil,ITS3/ITS4,5264,5264,21
Tedersoo_2014,05,forest,5,1307,4.16,2011,-71.8228,-41.1976,South America,soil,ITS3/ITS4,6962,6962,1
Tedersoo_2014,06,forest,8.3,1870,2.98,2012,172.104,-42.3024,Australia,soil,ITS3/ITS4,5947,5947,7
Tedersoo_2014,07,forest,8.7,1160,5.32,2011,-71.6671,-40.1329,South America,soil,ITS3/ITS4,5557,5557,1
Tedersoo_2014,08,forest,9,1090,4.91,2011,-71.6591,-40.132,South America,soil,ITS3/ITS4,4110,4110,7
Tedersoo_2014,09,forest,9.4,4251,3.5,2011,-73.0968,-44.0744,South America,soil,ITS3/ITS4,6976,6976,15
Toole_2017,01,forest,11.2,894,NA,2012,-77.9976,40.5057,North America,soil,ITS1F/ITS2,0,29121,2
Unuk_2019,01,forest,10.1,1097,NA,2017,15.2,46.33,Europe,root,gITS7/ITS4,20604,20604,1
UOBC_2016,01,forest,19.6,1208,4.61,2012,-95.15,31.11,North America,soil,ITS3/ITS4,29527,29527,1
UOBC_2016,01,forest,19.6,1208,4.69,2012,-95.15,31.11,North America,soil,ITS3/ITS4,29608,29608,1
Zimmerman_2012,01,forest,17.8,3125,NA,2009,-155.27,19.6993,North America,shoot,ITS1F/ITS2,0,687,1
