species_cluster,Identifier,Location,Biogeographic_region
1,AY996625.1,Mexico: Chihuahua,CENTRAL AMERICA
1,AB368925.1,Japan,EAST ASIA
1,AB368926.1,Japan: Hokkaido,EAST ASIA
1,AB368927.1,Japan: Hokkaido,EAST ASIA
1,AB368928.1,Japan: Hokkaido,EAST ASIA
1,AB368929.1,Japan: Tottori,EAST ASIA
1,AB510854.1,Japan,EAST ASIA
1,AB510855.1,Japan,EAST ASIA
1,AB510859.1,Japan,EAST ASIA
1,AB510861.1,Japan,EAST ASIA
1,AB510865.1,Japan,EAST ASIA
1,AB510869.1,Japan,EAST ASIA
1,AB510870.1,Japan,EAST ASIA
1,AB510872.1,Japan,EAST ASIA
1,AB510874.1,Japan,EAST ASIA
1,AB510876.1,Japan,EAST ASIA
1,AB510879.1,Japan,EAST ASIA
1,AB510883.1,Japan,EAST ASIA
1,AB510888.1,Japan,EAST ASIA
1,AB510889.1,Japan,EAST ASIA
1,AB510890.1,Japan,EAST ASIA
1,AB510891.1,Japan,EAST ASIA
1,AB510893.1,Japan,EAST ASIA
1,AB510894.1,Japan,EAST ASIA
1,AB510895.1,Japan,EAST ASIA
1,AB510896.1,Japan,EAST ASIA
1,AB510897.1,Japan,EAST ASIA
1,AB510899.1,Japan,EAST ASIA
1,AB510900.1,Japan,EAST ASIA
1,AB716750.1,Japan,EAST ASIA
1,AB716752.1,Japan,EAST ASIA
1,AY554328.1,Bhutan,EAST ASIA
1,AY554329.1,Bhutan,EAST ASIA
1,AY554331.1,Bhutan,EAST ASIA
1,AY996714.1,Russia,EAST ASIA
1,KF032520.1,China,EAST ASIA
1,KF032523.1,China,EAST ASIA
1,KF032524.1,China,EAST ASIA
1,KF032525.1,China,EAST ASIA
1,KF032528.1,China,EAST ASIA
1,KF032529.1,China,EAST ASIA
1,KF032531.1,China,EAST ASIA
1,KJ643336.1,China,EAST ASIA
1,KJ643342.1,China,EAST ASIA
1,KJ643344.1,China,EAST ASIA
1,KJ643345.1,China,EAST ASIA
1,KJ643346.1,China,EAST ASIA
1,KJ643348.1,China,EAST ASIA
1,KJ643349.1,China,EAST ASIA
1,KJ643351.1,China,EAST ASIA
1,KJ643352.1,China,EAST ASIA
1,KJ769266.1,Russia,EAST ASIA
1,KP162308.1,China,EAST ASIA
1,KP162309.1,China,EAST ASIA
1,KP162313.1,China,EAST ASIA
1,KP162315.1,China,EAST ASIA
1,KP162316.1,China,EAST ASIA
1,KP162318.1,China,EAST ASIA
1,KP162328.1,China,EAST ASIA
1,KP162330.1,China,EAST ASIA
1,KP162331.1,China,EAST ASIA
1,KP162332.1,China,EAST ASIA
1,KP162333.1,China,EAST ASIA
1,KP162334.1,China,EAST ASIA
1,KP162335.1,China,EAST ASIA
1,KP162336.1,China,EAST ASIA
1,KP960523.1,Russia,EAST ASIA
1,KP960524.1,Russia,EAST ASIA
1,KP960533.1,Russia,EAST ASIA
1,KP960534.1,Russia,EAST ASIA
1,KR673672.1,South Korea,EAST ASIA
1,KR673705.1,South Korea,EAST ASIA
1,KT182085.1,South Korea,EAST ASIA
1,KT182086.1,South Korea,EAST ASIA
1,KT355029.1,Russia,EAST ASIA
1,KT822257.1,China,EAST ASIA
1,KT822258.1,China,EAST ASIA
1,KT822259.1,China,EAST ASIA
1,KT822260.1,China,EAST ASIA
1,KT822261.1,China,EAST ASIA
1,KT822265.1,China,EAST ASIA
1,KT822266.1,China,EAST ASIA
1,KT822269.1,China,EAST ASIA
1,KT822270.1,China,EAST ASIA
1,KT822271.1,China,EAST ASIA
1,KT822274.1,China,EAST ASIA
1,KT822277.1,China,EAST ASIA
1,KT822279.1,China,EAST ASIA
1,KT822280.1,China,EAST ASIA
1,KT822281.1,China,EAST ASIA
1,KT822282.1,China,EAST ASIA
1,KT822283.1,China,EAST ASIA
1,KT822286.1,China,EAST ASIA
1,KT822292.1,China,EAST ASIA
1,KT822293.1,China,EAST ASIA
1,KT822294.1,China,EAST ASIA
1,KT822295.1,China,EAST ASIA
1,KT822297.1,China,EAST ASIA
1,KT822298.1,China,EAST ASIA
1,KT822299.1,China,EAST ASIA
1,KT822301.1,China,EAST ASIA
1,KT822303.1,China,EAST ASIA
1,KT822306.1,China,EAST ASIA
1,KT822307.1,China,EAST ASIA
1,KT822308.1,China,EAST ASIA
1,KT822309.1,China,EAST ASIA
1,KT822310.1,China,EAST ASIA
1,KT822311.1,China,EAST ASIA
1,KT822312.1,China,EAST ASIA
1,KT822313.1,China,EAST ASIA
1,KT822314.1,China,EAST ASIA
1,KT822316.1,China,EAST ASIA
1,KT822317.1,China,EAST ASIA
1,KT822318.1,China,EAST ASIA
1,KT822321.1,China,EAST ASIA
1,KT822323.1,China,EAST ASIA
1,KT822324.1,China,EAST ASIA
1,KT822325.1,China,EAST ASIA
1,KT822326.1,China,EAST ASIA
1,KT822327.1,China,EAST ASIA
1,KT822329.1,China,EAST ASIA
1,KT822332.1,China,EAST ASIA
1,KT822334.1,China,EAST ASIA
1,KT822335.1,China,EAST ASIA
1,KT822336.1,China: Yunnan,EAST ASIA
1,KU885962.1,China,EAST ASIA
1,KU885964.1,China,EAST ASIA
1,KY389148.1,China,EAST ASIA
1,KY389149.1,China,EAST ASIA
1,KY389150.1,China,EAST ASIA
