species_cluster,Accession_number,Location,Biogeographic_region
1,AY554331.1,Bhutan,EAST ASIA
1,AY554330.1,Bhutan,EAST ASIA
1,KT822318.1,China,EAST ASIA
1,KT822281.1,China,EAST ASIA
1,KT822274.1,China,EAST ASIA
1,KT822258.1,China,EAST ASIA
1,KY389172.1,China,EAST ASIA
1,KY389170.1,China,EAST ASIA
1,KP162336.1,China,EAST ASIA
1,KP162326.1,China,EAST ASIA
1,KF032523.1,China,EAST ASIA
1,KF032520.1,China,EAST ASIA
1,KT822269.1,China,EAST ASIA
1,KY389148.1,China,EAST ASIA
1,KF032525.1,China,EAST ASIA
1,KT822280.1,China,EAST ASIA
1,KT822320.1,China,EAST ASIA
1,KT822312.1,China,EAST ASIA
1,KY389149.1,China,EAST ASIA
1,MW855923.1,China,EAST ASIA
1,KJ643352.1,China,EAST ASIA
1,KJ643342.1,China,EAST ASIA
1,KU885962.1,China,EAST ASIA
1,KU885961.1,China,EAST ASIA
1,KP162317.1,China,EAST ASIA
1,KT822261.1,China,EAST ASIA
1,KY389150.1,China,EAST ASIA
1,KT822279.1,China,EAST ASIA
1,KJ643351.1,China,EAST ASIA
1,KT822259.1,China,EAST ASIA
1,MK079569.1,China,EAST ASIA
1,MK850394.1,China,EAST ASIA
1,KY389189.1,China,EAST ASIA
1,KT822333.1,China,EAST ASIA
1,MG931841.1,China,EAST ASIA
1,MG931840.1,China,EAST ASIA
1,MG931831.1,China,EAST ASIA
1,MG931802.1,China,EAST ASIA
1,MG931781.1,China,EAST ASIA
1,MG931734.1,China,EAST ASIA
1,KT822332.1,China,EAST ASIA
1,KP162331.1,China,EAST ASIA
1,KP162330.1,China,EAST ASIA
1,KT822334.1,China,EAST ASIA
1,KJ643344.1,China,EAST ASIA
1,KT822321.1,China,EAST ASIA
1,KT822282.1,China,EAST ASIA
1,KY389176.1,China,EAST ASIA
1,KU885959.1,China,EAST ASIA
1,KP162309.1,China,EAST ASIA
1,KT822319.1,China,EAST ASIA
1,KT822317.1,China,EAST ASIA
1,KT822306.1,China,EAST ASIA
1,KF032531.1,China,EAST ASIA
1,KT822314.1,China,EAST ASIA
1,KJ643340.1,China,EAST ASIA
1,KT822315.1,China,EAST ASIA
1,KT822305.1,China,EAST ASIA
1,KY389174.1,China,EAST ASIA
1,MG931756.1,China,EAST ASIA
1,MG931755.1,China,EAST ASIA
1,MG931754.1,China,EAST ASIA
1,MG931753.1,China,EAST ASIA
1,KJ643338.1,China,EAST ASIA
1,KT822313.1,China,EAST ASIA
1,KF032529.1,China,EAST ASIA
1,KT822302.1,China,EAST ASIA
1,KT822297.1,China,EAST ASIA
1,MZ092711.1,China,EAST ASIA
1,KT822296.1,China,EAST ASIA
1,KP162322.1,China-Polyporus associate,EAST ASIA
1,KY389175.1,China-Polyporus associate,EAST ASIA
1,KT822336.1,China: Yunnan,EAST ASIA
1,AB716752.1,Japan,EAST ASIA
1,AB716750.1,Japan,EAST ASIA
1,AB368925.1,Japan,EAST ASIA
1,AB510872.1,Japan,EAST ASIA
1,AB368928.1,Japan: Hokkaido,EAST ASIA
1,AB368927.1,Japan: Hokkaido,EAST ASIA
1,AB368929.1,Japan: Tottori,EAST ASIA
1,KP960534.1,Russia,EAST ASIA
1,KP960533.1,Russia,EAST ASIA
1,KM052567.1,South Korea,EAST ASIA
1,MG696206.1,South Korea,EAST ASIA
1,KR673600.1,South Korea,EAST ASIA
1,AY213562.1,USA: Michigan,EAST NA
1,AY213567.1,USA: Michigan,EAST NA
1,AY213566.1,USA: Michigan,EAST NA
1,EU257718.1,Czech Republic,EUROPE
1,AY175808.1,Czech Republic,EUROPE
1,EU257715.1,Czech Republic,EUROPE
1,FJ664585.1,France,EUROPE
1,JN657453.1,France,EUROPE
1,KU712248.1,Germany,EUROPE
1,KP960553.1,Italy,EUROPE
1,KP960530.1,Italy,EUROPE
1,KP960532.1,Italy,EUROPE
1,JF907766.1,Italy,EUROPE
1,GU934598.1,Lithuania,EUROPE
1,EU257716.1,Slovakia,EUROPE
1,KF020707.1,Slovenia,EUROPE
1,KX618579.1,Uk,EUROPE
1,KX618577.1,UK,EUROPE
1,KX618541.1,UK,EUROPE
1,KX618540.1,UK,EUROPE
1,KX618537.1,UK,EUROPE
1,KX618575.1,UK,EUROPE
1,KX618574.1,UK,EUROPE
1,KX618554.1,UK,EUROPE
1,KX618545.1,UK,EUROPE
1,KX618556.1,UK,EUROPE
1,KX618536.1,UK,EUROPE
1,KX618543.1,UK,EUROPE
1,KX618552.1,UK,EUROPE
1,KX618557.1,UK,EUROPE
1,KX618573.1,UK,EUROPE
1,KX618550.1,UK,EUROPE
1,KX618539.1,UK,EUROPE
1,KX618546.1,UK,EUROPE
1,KX618551.1,UK,EUROPE
1,JN657458.1,Ukraine,EUROPE
1,JN657456.1,Ukraine,EUROPE
1,JN657455.1,Ukraine,EUROPE
1,JN657454.1,Ukraine,EUROPE
1,JN657450.1,ukraine,EUROPE
1,JN657457.1,Ukraine,EUROPE
1,FJ664615.1,USA: Hawaii,HAWAII
1,MK386840.1,India,INDIA
1,AY190248.1,South Africa,SUBSAHARAN AFRICA
1,AY190247.1,South Africa,SUBSAHARAN AFRICA
1,MT248417.1,California,WEST NA
1,MH550356.1,Canada: Bristish Columbia,WEST NA
1,AY213568.1,Canada: Bristish Columbia,WEST NA
1,AY213574.1,USA: Alaska,WEST NA
1,AY213572.1,USA: Idaho,WEST NA
1,AY213579.1,USA: Idaho,WEST NA
1,AY213577.1,USA: Idaho,WEST NA
1,AY213575.1,USA: Idaho,WEST NA
2,AY996625.1,Mexico: Chihuahua,CENTRAL AMERICA
2,KT822287.1,China,EAST ASIA
2,KT822278.1,China,EAST ASIA
2,KY389155.1,China,EAST ASIA
2,KT822290.1,China,EAST ASIA
2,KY389190.1,China,EAST ASIA
2,KT822266.1,China,EAST ASIA
2,KT822265.1,China,EAST ASIA
2,MG931725.1,China,EAST ASIA
2,MG931838.1,China,EAST ASIA
2,MG931837.1,China,EAST ASIA
2,MG931721.1,China,EAST ASIA
2,MG931720.1,China,EAST ASIA
2,MG931718.1,China,EAST ASIA
2,MG931722.1,China,EAST ASIA
2,MG931719.1,China,EAST ASIA
2,JN091687.1,China,EAST ASIA
2,KT822292.1,China,EAST ASIA
2,KT822311.1,China,EAST ASIA
2,KU885964.1,China,EAST ASIA
2,KU885963.1,China,EAST ASIA
2,KP162333.1,China,EAST ASIA
2,KT822294.1,China,EAST ASIA
2,KT822310.1,China,EAST ASIA
2,KT822293.1,China,EAST ASIA
2,AB510853.1,Japan,EAST ASIA
2,AB510865.1,Japan,EAST ASIA
2,AB510859.1,Japan,EAST ASIA
2,AB510861.1,Japan,EAST ASIA
2,AB510854.1,Japan,EAST ASIA
2,AB510897.1,Japan,EAST ASIA
2,AB510896.1,Japan,EAST ASIA
2,AB510855.1,Japan,EAST ASIA
2,MG931914.1,Russia,EAST ASIA
2,AY996714.1,Russia,EAST ASIA
2,KJ769266.1,Russia,EAST ASIA
2,MG696210.1,South Korea,EAST ASIA
2,MN961141.1,Canada: Nova Scotia,EAST NA
2,FJ664606.1,Canada: Quebec,EAST NA
2,FJ664586.1,Canada: Quebec,EAST NA
2,MH855017.1,Canada: Quebec,EAST NA
2,MG931912.1,USA: Minnesota,EAST NA
2,MG931903.1,USA: Minnesota,EAST NA
2,AY213552.1,USA: New Hampshire,EAST NA
2,AY996615.1,USA: New Hampshire,EAST NA
2,MG931931.1,USA: North Carolina,EAST NA
2,MG931924.1,USA: North Carolina,EAST NA
2,AY213556.1,USA: NY,EAST NA
2,AY213555.1,USA: NY,EAST NA
2,AY213557.1,USA: NY,EAST NA
2,MG931928.1,USA: Tennessee,EAST NA
2,MG931925.1,USA: Tennessee,EAST NA
2,MG931932.1,USA: Tennessee,EAST NA
2,MG931930.1,USA: Tennessee,EAST NA
2,AY213558.1,USA: West Virginia,EAST NA
2,KP960540.1,Belarus,EUROPE
2,KP960541.1,Belarus,EUROPE
2,MT004788.1,Belgium,EUROPE
2,EU257717.1,Czech Republic,EUROPE
2,AY175811.1,Czech Republic,EUROPE
2,MG931760.1,Finland,EUROPE
2,MG931758.1,Finland,EUROPE
2,MH861561.1,Finland,EUROPE
2,NR_159624.1,Finland,EUROPE
2,MG931761.1,Finland,EUROPE
2,MG931759.1,Finland,EUROPE
2,AY996695.1,Finland,EUROPE
2,AY996694.1,Finland,EUROPE
2,KT822291.1,Finland,EUROPE
2,MG931769.1,France,EUROPE
2,JN657460.1,France,EUROPE
2,HQ232289.1,France,EUROPE
2,JN657459.1,France,EUROPE
2,MG931770.1,Germany,EUROPE
2,FJ664603.1,Germany,EUROPE
2,FJ236016.1,Germany,EUROPE
2,MG931765.1,Italy,EUROPE
2,KP960542.1,Italy,EUROPE
2,FJ664601.1,Italy,EUROPE
2,KP960544.1,Italy,EUROPE
2,KP960543.1,Italy,EUROPE
2,AJ250055.1,Poland,EUROPE
2,MT406380.1,Poland,EUROPE
2,KX756393.1,Poland,EUROPE
2,MH793516.1,Poland,EUROPE
2,MH793521.1,Poland,EUROPE
2,KU727780.1,Poland,EUROPE
2,MH793515.1,Poland,EUROPE
2,AY848941.1,Poland,EUROPE
2,FJ159577.1,Spain,EUROPE
2,JN657463.1,Switzerland,EUROPE
2,KX618542.1,UK,EUROPE
2,KX618549.1,UK,EUROPE
2,KX618548.1,UK,EUROPE
2,KX618547.1,UK,EUROPE
2,JN657462.1,Ukraine,EUROPE
2,JN657461.1,Ukraine,EUROPE
2,JN859184.1,Turkey,WEST ASIA
2,MH550355.1,Canada: Bristish Columbia,WEST NA
2,MH550354.1,Canada: Bristish Columbia,WEST NA
2,MH550353.1,Canada: Bristish Columbia,WEST NA
2,FJ664602.1,Canada: Bristish Columbia,WEST NA
2,MH550349.1,Canada: Bristish Columbia,WEST NA
2,MH550348.1,Canada: Bristish Columbia,WEST NA
2,MH550346.1,Canada: Bristish Columbia,WEST NA
